 neg. daughter ne21 z=10 n=11 a=21 Q= -5.7331
  0.70  4.0 -0.174 -65.124 -46.809  -47.536  -0.760  -9.810   -0.296
  1.00  4.0 -0.302 -45.998 -34.317  -34.883  -0.759  -7.023   -0.295
  1.50  4.0 -0.464 -31.138 -24.261  -24.642  -0.758  -4.905   -0.292
  2.00  4.0 -0.497 -23.725 -18.800  -19.046  -0.757  -4.082   -0.290
  3.00  4.0 -0.507 -16.335 -13.085  -13.136  -0.759  -3.216   -0.289
  5.00  4.0 -0.510 -10.466  -8.202   -7.998  -0.781  -2.296   -0.288
 10.00  4.0 -0.511  -6.138  -3.968   -3.390  -0.790  -1.098    0.033
 30.00  4.0 -0.511  -0.688   0.277    1.441   1.373   1.266    2.723
100.00  4.0 -0.511   1.299   4.241    5.879   2.861   4.669    6.347
  0.01  5.0  0.053 -99.999 -99.999  -99.999  -0.761 -99.999   -0.297
  0.10  5.0  0.052 -99.999 -99.999  -99.999  -0.761 -59.507   -0.297
  0.20  5.0  0.047 -99.999 -99.999  -99.999  -0.761 -31.715   -0.297
  0.40  5.0  0.026 -99.999 -76.678  -77.655  -0.760 -17.388   -0.297
  0.70  5.0 -0.026 -65.124 -45.742  -46.470  -0.760 -10.876   -0.296
  1.00  5.0 -0.098 -45.998 -33.286  -33.852  -0.760  -8.055   -0.295
  1.50  5.0 -0.246 -31.138 -23.528  -23.908  -0.758  -5.638   -0.293
  2.00  5.0 -0.383 -23.724 -18.512  -18.757  -0.757  -4.368   -0.291
  3.00  5.0 -0.476 -16.334 -13.031  -13.083  -0.759  -3.268   -0.289
  5.00  5.0 -0.502 -10.466  -8.194   -7.990  -0.781  -2.304   -0.289
 10.00  5.0 -0.509  -6.137  -3.967   -3.389  -0.791  -1.099    0.032
 30.00  5.0 -0.511  -0.688   0.277    1.441   1.373   1.266    2.723
100.00  5.0 -0.511   1.299   4.241    5.879   2.861   4.669    6.347
  0.01  6.0  0.215 -99.999 -99.999  -99.999  -0.763 -99.999   -0.301
  0.10  6.0  0.214 -99.999 -99.999  -99.999  -0.763 -67.697   -0.301
  0.20  6.0  0.213 -99.999 -99.999  -99.999  -0.763 -35.900   -0.301
  0.40  6.0  0.206 -99.999 -74.409  -75.385  -0.763 -19.661   -0.301
  0.70  6.0  0.189 -65.124 -44.196  -44.923  -0.763 -12.426   -0.301
  1.00  6.0  0.161 -45.998 -31.983  -32.549  -0.762  -9.358   -0.300
  1.50  6.0  0.093 -31.138 -22.391  -22.771  -0.761  -6.776   -0.297
  2.00  6.0  0.001 -23.724 -17.545  -17.791  -0.759  -5.333   -0.294
  3.00  6.0 -0.212 -16.331 -12.589  -12.641  -0.761  -3.704   -0.293
  5.00  6.0 -0.420 -10.462  -8.111   -7.908  -0.782  -2.384   -0.294
 10.00  6.0 -0.491  -6.136  -3.958   -3.380  -0.791  -1.108    0.028
 30.00  6.0 -0.509  -0.688   0.277    1.442   1.373   1.266    2.722
100.00  6.0 -0.511   1.299   4.241    5.879   2.861   4.669    6.347
  0.01  7.0  0.711 -99.999 -99.999  -99.999  -0.804 -99.999   -0.359
  0.10  7.0  0.711 -99.999 -99.999  -99.999  -0.804 -92.755   -0.359
  0.20  7.0  0.711 -99.999 -99.999  -99.999  -0.784 -48.442   -0.334
  0.40  7.0  0.708 -99.999 -68.078  -69.058  -0.784 -25.984   -0.334
  0.70  7.0  0.701 -65.124 -40.506  -41.237  -0.784 -16.109   -0.334
  1.00  7.0  0.689 -45.998 -29.322  -29.890  -0.783 -12.021   -0.332
  1.50  7.0  0.662 -31.138 -20.480  -20.862  -0.781  -8.687   -0.329
  2.00  7.0  0.622 -23.724 -15.982  -16.228  -0.779  -6.899   -0.325
  3.00  7.0  0.510 -16.330 -11.379  -11.430  -0.779  -4.915   -0.322
  5.00  7.0  0.187 -10.448  -7.502   -7.299  -0.795  -2.984   -0.328
 10.00  7.0 -0.315  -6.125  -3.870   -3.293  -0.795  -1.193   -0.016
 30.00  7.0 -0.490  -0.688   0.281    1.445   1.373   1.263    2.720
100.00  7.0 -0.509   1.299   4.241    5.879   2.861   4.669    6.347
  0.01  8.0  1.936 -99.999 -99.999  -99.999  -0.961 -99.999   -0.595
  0.10  8.0  1.936 -99.999 -99.999  -99.999  -0.961 -99.999   -0.596
  0.20  8.0  1.935 -99.999 -99.999  -99.999  -0.963 -79.296   -0.598
  0.40  8.0  1.934 -99.999 -52.746  -53.726  -0.965 -41.430   -0.601
  0.70  8.0  1.931 -65.124 -31.771  -32.504  -0.964 -24.965   -0.600
  1.00  8.0  1.925 -45.998 -23.211  -23.782  -0.962 -18.251   -0.596
  1.50  8.0  1.913 -31.138 -16.394  -16.769  -0.957 -12.890   -0.588
  2.00  8.0  1.895 -23.724 -12.874  -13.107  -0.952 -10.105   -0.578
  3.00  8.0  1.844 -16.330  -9.201   -9.237  -0.944  -7.155   -0.561
  5.00  8.0  1.681 -10.444  -6.028   -5.817  -0.943  -4.486   -0.540
 10.00  8.0  0.982  -6.081  -3.230   -2.651  -0.873  -1.834   -0.280
 30.00  8.0 -0.302  -0.685   0.311    1.474   1.371   1.232    2.701
100.00  8.0 -0.492   1.299   4.242    5.880   2.860   4.668    6.346
  0.01  9.0  4.671 -99.999 -99.999  -99.999  -2.515 -99.999   -2.710
  0.10  9.0  4.671 -99.999 -58.559  -60.146  -2.530 -99.999   -2.731
  0.20  9.0  4.671 -99.999 -32.062  -33.346  -2.530 -99.999   -2.729
  0.40  9.0  4.671 -99.999 -18.355  -19.336  -2.526 -75.908   -2.717
  0.70  9.0  4.665 -65.124 -12.168  -12.902  -2.502 -44.656   -2.677
  1.00  9.0  4.665 -45.998  -9.490  -10.062  -2.473 -32.060   -2.626
  1.50  9.0  4.660 -31.138  -7.255   -7.638  -2.405 -22.122   -2.512
  2.00  9.0  4.650 -23.724  -6.035   -6.286  -2.328 -17.048   -2.388
  3.00  9.0  4.625 -16.330  -4.674   -4.736  -2.178 -11.827   -2.155
  5.00  9.0  4.551 -10.444  -3.314   -3.114  -1.948  -7.379   -1.788
 10.00  9.0  4.197  -6.068  -1.736   -1.141  -1.380  -3.451   -0.914
 30.00  9.0  1.461  -0.666   0.599    1.753   1.349   0.943    2.539
100.00  9.0 -0.324   1.302   4.251    5.888   2.858   4.660    6.338
  0.01 10.0 10.608 -99.999   0.268    0.833 -99.999 -99.999  -99.999
  0.10 10.0 10.608 -99.999   0.268    0.833 -99.999 -99.999  -99.999
  0.20 10.0 10.608 -99.999   0.268    0.833 -99.999 -99.999  -99.999
  0.40 10.0 10.608 -99.999   0.268    0.834 -67.298 -99.999  -68.291
  0.70 10.0 10.608 -65.124   0.270    0.836 -40.007 -87.444  -40.756
  1.00 10.0 10.603 -45.998   0.272    0.840 -28.849 -61.987  -29.457
  1.50 10.0 10.603 -31.138   0.284    0.858 -20.096 -42.090  -20.520
  2.00 10.0 10.598 -23.724   0.296    0.876 -15.547 -32.037  -15.858
  3.00 10.0 10.588 -16.330   0.320    0.913 -10.890 -21.845  -11.026
  5.00 10.0 10.552 -10.444   0.366    0.984  -6.763 -13.428   -6.703
 10.00 10.0 10.389  -6.067   0.544    1.279  -3.161  -6.571   -2.512
 30.00 10.0  8.651  -0.645   1.711    2.856   1.095  -0.257    2.006
100.00 10.0  1.351   1.326   4.333    5.971   2.835   4.578    6.255
  0.01 11.0 23.419 -99.999   3.169    4.072 -99.999 -99.999  -99.999
  0.10 11.0 23.424 -99.999   3.170    4.073 -99.999 -99.999  -99.999
  0.20 11.0 23.419 -99.999   3.169    4.072 -99.999 -99.999  -99.999
  0.40 11.0 23.419 -99.999   3.169    4.073 -99.999 -99.999  -99.999
  0.70 11.0 23.424 -65.124   3.171    4.074 -99.999 -99.999  -99.999
  1.00 11.0 23.419 -45.998   3.170    4.074 -91.464 -99.999  -92.055
  1.50 11.0 23.419 -31.138   3.172    4.077 -61.131 -85.151  -61.549
  2.00 11.0 23.419 -23.724   3.174    4.081 -45.842 -64.346  -46.137
  3.00 11.0 23.414 -16.330   3.179    4.088 -30.380 -43.393  -30.503
  5.00 11.0 23.399 -10.444   3.191    4.105 -17.773 -26.377  -17.683
 10.00 11.0 23.322  -6.067   3.240    4.168  -7.960 -13.090   -7.594
 30.00 11.0 22.504  -0.643   3.619    4.750  -0.587  -2.584    0.150
100.00 11.0 14.012   1.429   4.943    6.589   2.544   3.948    5.625
