 neg. daughter f21  z= 9 n=12 a=21 Q= -0.0470
 pos. daughter o21  z= 8 n=13 a=21 Q=  8.1400
              +++++++++f21  -->o21  +++++++++---------o21  -->f21  ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.40  8.0  1.934 -99.999 -84.295  -85.276  -0.403 -41.415    0.168
  0.70  8.0  1.931 -80.156 -49.816  -50.550  -0.403 -24.962    0.169
  1.00  8.0  1.925 -56.641 -35.858  -36.434  -0.401 -18.257    0.170
  1.50  8.0  1.913 -38.347 -24.832  -25.227  -0.394 -12.906    0.179
  2.00  8.0  1.895 -29.194 -19.198  -19.464  -0.381 -10.127    0.195
  3.00  8.0  1.844 -20.032 -13.408  -13.488  -0.350  -7.181    0.231
  5.00  8.0  1.681 -12.707  -8.548   -8.381  -0.304  -4.505    0.286
 10.00  8.0  0.982  -7.066  -4.503   -3.906  -0.236  -1.793    0.404
 30.00  8.0 -0.302  -1.512   0.033    1.175   1.713   1.559    3.035
100.00  8.0 -0.492   0.333   3.933    5.561   2.963   4.793    6.479
  0.01  9.0  4.671 -99.999 -99.999  -99.999  -0.868 -99.999   -0.472
  0.10  9.0  4.671 -99.999 -99.999  -99.999  -0.860 -99.999   -0.461
  0.20  9.0  4.671 -99.999 -95.098  -96.380  -0.859 -99.999   -0.459
  0.40  9.0  4.671 -99.999 -49.883  -50.860  -0.860 -75.893   -0.460
  0.70  9.0  4.665 -80.156 -30.193  -30.924  -0.859 -44.653   -0.458
  1.00  9.0  4.665 -56.641 -22.122  -22.688  -0.857 -32.067   -0.455
  1.50  9.0  4.660 -38.347 -15.669  -16.054  -0.846 -22.138   -0.441
  2.00  9.0  4.650 -29.194 -12.315  -12.569  -0.827 -17.070   -0.416
  3.00  9.0  4.625 -20.032  -8.782   -8.849  -0.783 -11.852   -0.359
  5.00  9.0  4.551 -12.707  -5.684   -5.514  -0.715  -7.398   -0.266
 10.00  9.0  4.197  -7.055  -2.975   -2.407  -0.555  -3.409   -0.012
 30.00  9.0  1.461  -1.483   0.319    1.461   1.692   1.269    2.875
100.00  9.0 -0.324   0.336   3.942    5.569   2.961   4.785    6.471
  0.01 10.0 10.608 -99.999  -0.702   -0.463 -99.999 -99.999  -99.999
  0.10 10.0 10.608 -99.999  -0.702   -0.462 -99.999 -99.999  -99.999
  0.20 10.0 10.608 -99.999  -0.702   -0.462 -67.416 -99.999  -68.705
  0.40 10.0 10.608 -99.999  -0.701   -0.460 -36.009 -99.999  -36.998
  0.70 10.0 10.608 -80.156  -0.698   -0.455 -22.203 -87.442  -22.955
  1.00 10.0 10.603 -56.641  -0.696   -0.450 -16.381 -61.993  -17.021
  1.50 10.0 10.603 -38.347  -0.684   -0.430 -11.921 -42.106  -12.349
  2.00 10.0 10.598 -29.194  -0.672   -0.407  -9.430 -32.059   -9.774
  3.00 10.0 10.588 -20.032  -0.640   -0.348  -7.003 -21.871   -7.144
  5.00 10.0 10.552 -12.707  -0.572   -0.205  -4.777 -13.448   -4.712
