 neg. daughter ne23 z=10 n=13 a=23 Q= -5.1551
  0.20  3.0 -0.055 -99.999 -99.999  -99.999  -0.475 -28.944   -0.025
  0.40  3.0 -0.147 -99.999 -99.999  -99.999  -0.475 -14.994   -0.024
  0.70  3.0 -0.314 -84.729 -68.053  -68.786  -0.474  -8.600   -0.022
  1.00  3.0 -0.465 -59.715 -49.286  -49.860  -0.468  -6.002   -0.013
  1.50  3.0 -0.506 -40.253 -33.794  -34.186  -0.452  -4.570    0.011
  2.00  3.0 -0.510 -30.517 -25.828  -26.089  -0.436  -3.863    0.036
  3.00  3.0 -0.511 -20.778 -17.673  -17.747  -0.407  -3.035    0.080
  5.00  3.0 -0.511 -13.004 -10.863  -10.689  -0.350  -2.136    0.180
 10.00  3.0 -0.511  -7.253  -5.263   -4.691  -0.205  -0.936    0.525
 30.00  3.0 -0.511  -1.215  -0.041    1.115   1.868   1.539    3.139
100.00  3.0 -0.511   1.024   4.109    5.741   3.359   4.910    6.603
  0.01  4.0  0.012 -99.999 -99.999  -99.999  -0.475 -99.999   -0.025
  0.10  4.0  0.005 -99.999 -99.999  -99.999  -0.475 -56.951   -0.025
  0.20  4.0 -0.013 -99.999 -99.999  -99.999  -0.475 -29.998   -0.025
  0.40  4.0 -0.067 -99.999 -99.999  -99.999  -0.475 -16.012   -0.025
  0.70  4.0 -0.174 -84.729 -67.047  -67.780  -0.474  -9.607   -0.022
  1.00  4.0 -0.302 -59.715 -48.464  -49.038  -0.468  -6.824   -0.013
  1.50  4.0 -0.464 -40.253 -33.652  -34.044  -0.452  -4.711    0.011
  2.00  4.0 -0.497 -30.517 -25.796  -26.057  -0.436  -3.894    0.036
  3.00  4.0 -0.507 -20.778 -17.668  -17.742  -0.407  -3.040    0.080
  5.00  4.0 -0.510 -13.004 -10.863  -10.688  -0.350  -2.137    0.180
 10.00  4.0 -0.511  -7.253  -5.263   -4.691  -0.205  -0.936    0.525
 30.00  4.0 -0.511  -1.215  -0.041    1.115   1.868   1.539    3.139
100.00  4.0 -0.511   1.024   4.109    5.741   3.359   4.910    6.603
  0.01  5.0  0.053 -99.999 -99.999  -99.999  -0.476 -99.999   -0.025
  0.10  5.0  0.052 -99.999 -99.999  -99.999  -0.476 -59.295   -0.025
  0.20  5.0  0.047 -99.999 -99.999  -99.999  -0.476 -31.505   -0.025
  0.40  5.0  0.026 -99.999 -99.999  -99.999  -0.476 -17.181   -0.025
  0.70  5.0 -0.026 -84.729 -65.981  -66.713  -0.474 -10.673   -0.022
  1.00  5.0 -0.098 -59.715 -47.432  -48.006  -0.468  -7.855   -0.013
  1.50  5.0 -0.246 -40.253 -32.919  -33.311  -0.452  -5.444    0.011
  2.00  5.0 -0.383 -30.517 -25.508  -25.769  -0.436  -4.180    0.036
  3.00  5.0 -0.476 -20.777 -17.614  -17.688  -0.408  -3.093    0.080
  5.00  5.0 -0.502 -13.003 -10.854  -10.680  -0.350  -2.145    0.180
 10.00  5.0 -0.509  -7.253  -5.262   -4.690  -0.206  -0.937    0.525
 30.00  5.0 -0.511  -1.215  -0.041    1.115   1.868   1.539    3.139
100.00  5.0 -0.511   1.024   4.109    5.741   3.359   4.910    6.603
  0.01  6.0  0.215 -99.999 -99.999  -99.999  -0.478 -99.999   -0.030
  0.10  6.0  0.214 -99.999 -99.999  -99.999  -0.479 -67.485   -0.030
  0.20  6.0  0.213 -99.999 -99.999  -99.999  -0.479 -35.690   -0.030
  0.40  6.0  0.206 -99.999 -99.999  -99.999  -0.478 -19.454   -0.030
  0.70  6.0  0.189 -84.729 -64.431  -65.164  -0.477 -12.223   -0.027
  1.00  6.0  0.161 -59.715 -46.129  -46.703  -0.471  -9.159   -0.018
  1.50  6.0  0.093 -40.253 -31.781  -32.173  -0.455  -6.582    0.007
  2.00  6.0  0.001 -30.516 -24.541  -24.802  -0.438  -5.145    0.032
  3.00  6.0 -0.212 -20.775 -17.172  -17.246  -0.409  -3.528    0.076
  5.00  6.0 -0.420 -13.000 -10.771  -10.598  -0.351  -2.224    0.176
 10.00  6.0 -0.491  -7.251  -5.253   -4.682  -0.206  -0.945    0.522
 30.00  6.0 -0.509  -1.215  -0.041    1.116   1.868   1.539    3.139
100.00  6.0 -0.511   1.024   4.109    5.741   3.359   4.910    6.603
  0.01  7.0  0.711 -99.999 -99.999  -99.999  -0.500 -99.999   -0.064
  0.10  7.0  0.711 -99.999 -99.999  -99.999  -0.500 -92.544   -0.065
  0.20  7.0  0.711 -99.999 -99.999  -99.999  -0.501 -48.232   -0.066
  0.40  7.0  0.708 -99.999 -99.999  -99.999  -0.501 -25.776   -0.066
  0.70  7.0  0.701 -84.729 -60.748  -61.481  -0.499 -15.906   -0.063
  1.00  7.0  0.689 -59.715 -43.466  -44.040  -0.493 -11.822   -0.053
  1.50  7.0  0.662 -40.253 -29.870  -30.262  -0.476  -8.493   -0.027
  2.00  7.0  0.622 -30.516 -22.975  -23.236  -0.458  -6.710    0.001
  3.00  7.0  0.510 -20.773 -15.958  -16.032  -0.426  -4.739    0.049
  5.00  7.0  0.187 -12.986 -10.160   -9.988  -0.362  -2.823    0.151
 10.00  7.0 -0.315  -7.240  -5.165   -4.594  -0.209  -1.030    0.496
 30.00  7.0 -0.490  -1.214  -0.038    1.119   1.868   1.536    3.137
100.00  7.0 -0.509   1.024   4.109    5.741   3.359   4.910    6.603
  0.01  8.0  1.936 -99.999 -99.999  -99.999  -0.697 -99.999   -0.342
  0.10  8.0  1.936 -99.999 -99.999  -99.999  -0.695 -99.999   -0.338
  0.20  8.0  1.935 -99.999 -99.999  -99.999  -0.692 -79.086   -0.335
  0.40  8.0  1.934 -99.999 -88.098  -89.077  -0.691 -41.223   -0.333
  0.70  8.0  1.931 -84.729 -51.897  -52.630  -0.687 -24.761   -0.328
  1.00  8.0  1.925 -59.715 -37.241  -37.815  -0.678 -18.051   -0.312
  1.50  8.0  1.913 -40.253 -25.671  -26.063  -0.655 -12.696   -0.274
  2.00  8.0  1.895 -30.516 -19.773  -20.034  -0.629  -9.917   -0.233
  3.00  8.0  1.844 -20.773 -13.718  -13.792  -0.584  -6.978   -0.163
  5.00  8.0  1.681 -12.981  -8.656   -8.488  -0.490  -4.324   -0.017
 10.00  8.0  0.982  -7.195  -4.521   -3.955  -0.274  -1.669    0.331
 30.00  8.0 -0.302  -1.212  -0.007    1.149   1.867   1.505    3.123
100.00  8.0 -0.492   1.025   4.110    5.742   3.359   4.909    6.602
  0.01  9.0  4.671 -99.999 -99.999  -99.999  -1.978 -99.999   -1.861
  0.10  9.0  4.671 -99.999 -99.999  -99.999  -1.987 -99.999   -1.874
  0.20  9.0  4.671 -99.999 -99.999  -99.999  -1.984 -99.999   -1.869
  0.40  9.0  4.671 -99.999 -53.795  -54.751  -1.980 -75.701   -1.862
  0.70  9.0  4.665 -84.729 -32.342  -33.062  -1.958 -44.452   -1.829
  1.00  9.0  4.665 -59.715 -23.561  -24.114  -1.905 -31.861   -1.750
  1.50  9.0  4.660 -40.253 -16.532  -16.898  -1.784 -21.928   -1.583
  2.00  9.0  4.650 -30.516 -12.900  -13.135  -1.674 -16.860   -1.441
  3.00  9.0  4.625 -20.773  -9.091   -9.146  -1.502 -11.650   -1.222
  5.00  9.0  4.551 -12.981  -5.797   -5.613  -1.196  -7.217   -0.813
 10.00  9.0  4.197  -7.181  -2.957   -2.412  -0.671  -3.285   -0.151
 30.00  9.0  1.461  -1.191   0.279    1.431   1.850   1.216    3.003
100.00  9.0 -0.324   1.027   4.118    5.751   3.357   4.901    6.594
  0.01 10.0 10.608 -99.999  -3.273   -3.825 -99.999 -99.999  -99.999
  0.10 10.0 10.608 -99.999  -3.271   -3.820 -99.999 -99.999  -99.999
  0.20 10.0 10.608 -99.999  -3.264   -3.806 -59.532 -99.999  -60.820
  0.40 10.0 10.608 -99.999  -3.237   -3.753 -32.132 -99.999  -33.120
  0.70 10.0 10.608 -84.729  -3.169   -3.629 -20.053 -87.241  -20.800
  1.00 10.0 10.603 -59.715  -3.095   -3.490 -15.030 -61.787  -15.624
  1.50 10.0 10.603 -40.253  -2.915   -3.169 -10.999 -41.896  -11.420
  2.00 10.0 10.598 -30.516  -2.709   -2.791  -8.873 -31.849   -9.171
  3.00 10.0 10.588 -20.773  -2.240   -2.068  -6.616 -21.669   -6.742
  5.00 10.0 10.552 -12.981  -1.493   -1.077  -4.583 -13.266   -4.502
 10.00 10.0 10.389  -7.180  -0.449    0.222  -2.437  -6.405   -1.796
 30.00 10.0  8.651  -1.169   1.377    2.534   1.650   0.016    2.604
100.00 10.0  1.351   1.052   4.201    5.834   3.336   4.819    6.511
  0.01 11.0 23.419 -99.999   2.318    3.066 -99.999 -99.999  -99.999
  0.10 11.0 23.424 -99.999   2.319    3.068 -99.999 -99.999  -99.999
  0.20 11.0 23.419 -99.999   2.318    3.066 -99.999 -99.999  -99.999
  0.40 11.0 23.419 -99.999   2.318    3.066 -99.999 -99.999  -99.999
  0.70 11.0 23.424 -84.729   2.321    3.069 -99.999 -99.999  -99.999
  1.00 11.0 23.419 -59.715   2.320    3.068 -77.064 -99.999  -77.655
  1.50 11.0 23.419 -40.253   2.323    3.071 -51.495 -84.957  -51.912
  2.00 11.0 23.419 -30.516   2.328    3.076 -38.609 -64.158  -38.902
  3.00 11.0 23.414 -20.773   2.340    3.090 -25.572 -43.216  -25.694
  5.00 11.0 23.399 -12.981   2.381    3.144 -14.905 -26.216  -14.813
 10.00 11.0 23.322  -7.180   2.550    3.376  -6.432 -12.924   -6.059
 30.00 11.0 22.504  -1.167   3.277    4.400   0.189  -2.311    0.949
100.00 11.0 14.012   1.157   4.812    6.453   3.067   4.190    5.883
