 neg. daughter mg21 z=12 n= 9 a=21 Q= 10.9120
 pos. daughter na21 z=11 n=10 a=21 Q= -2.1858
              +++++++++mg21 -->na21 +++++++++---------na21 -->mg21 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.40  9.0  4.671   0.745   1.916    2.913 -99.999 -99.999  -99.999
  0.70  9.0  4.665   0.744   1.913    2.911 -99.999 -99.999  -99.999
  1.00  9.0  4.665   0.741   1.911    2.909 -99.999 -92.696  -93.270
  1.50  9.0  4.660   0.735   1.907    2.905 -69.533 -62.313  -62.704
  2.00  9.0  4.650   0.729   1.902    2.900 -51.777 -47.006  -47.266
  3.00  9.0  4.625   0.721   1.897    2.897 -34.036 -31.541  -31.608
  5.00  9.0  4.551   0.714   1.892    2.900 -19.842 -18.885  -18.636
 10.00  9.0  4.197   0.716   1.890    2.934  -9.166  -8.868   -8.188
 30.00  9.0  1.461   2.299   2.489    3.943  -2.254  -0.942    0.122
100.00  9.0 -0.324   3.795   5.398    7.148  -0.184   3.704    5.281
  0.01 10.0 10.608   0.745   3.289    4.432 -99.999 -99.999  -99.999
  0.10 10.0 10.608   0.745   3.289    4.433 -99.999 -99.999  -99.999
  0.20 10.0 10.608   0.745   3.289    4.433 -99.999 -99.999  -99.999
  0.40 10.0 10.608   0.745   3.289    4.433 -99.999 -99.999  -99.999
  0.70 10.0 10.608   0.744   3.288    4.431 -99.999 -99.999  -99.999
  1.00 10.0 10.603   0.741   3.285    4.428 -99.999 -99.999  -99.999
  1.50 10.0 10.603   0.735   3.280    4.423 -81.284 -82.281  -81.665
  2.00 10.0 10.598   0.729   3.275    4.418 -61.027 -61.995  -61.283
  3.00 10.0 10.588   0.721   3.269    4.412 -40.650 -41.559  -40.730
  5.00 10.0 10.552   0.714   3.256    4.402 -24.142 -24.934  -23.999
 10.00 10.0 10.389   0.716   3.227    4.383 -11.474 -11.989  -11.000
 30.00 10.0  8.651   2.307   3.509    4.860  -2.925  -2.147   -1.069
100.00 10.0  1.351   3.811   5.478    7.229  -0.218   3.620    5.197
  0.01 11.0 23.419   0.745   4.932    6.247 -99.999 -99.999  -99.999
